Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Target
5.85,-3.87,7.58,-2.10,4.32,-1.45,3.21,-5.12,2.89,-4.56,0
5.77,0.99,-1.00,1.23,-0.95,2.15,-3.40,0.87,1.56,-2.34,0
-6.83,-1.99,3.29,-4.56,2.10,1.34,-2.35,-0.02,3.45,-1.23,1
1.26,-1.64,8.17,3.21,-2.58,-3.49,1.23,4.56,-1.89,2.34,1
-4.15,3.94,1.69,1.45,3.61,-2.14,2.89,-1.56,3.12,-0.45,1
3.21,-2.15,5.43,2.34,-1.23,4.56,1.89,-3.21,2.10,-1.34,0
-1.23,4.56,2.34,-3.21,1.45,2.10,-1.89,3.45,-2.34,1.23,0
2.10,1.34,-4.56,3.21,-2.10,1.89,3.45,-1.23,2.34,-3.56,1
4.45,-1.23,3.21,1.45,2.10,-2.34,1.89,3.45,-1.56,2.34,0
-3.21,2.10,1.45,4.56,-1.89,2.34,-3.21,1.23,-2.10,3.45,1
1.89,3.45,-2.10,1.23,4.56,-1.34,2.10,-3.45,1.89,-2.34,0
-2.34,1.89,3.45,-4.56,2.10,1.34,-2.10,3.45,-1.23,2.10,1
3.45,-1.23,2.10,1.89,-3.45,2.34,1.23,-2.10,3.45,-1.89,0
-1.89,2.10,3.45,1.34,-2.10,1.23,2.10,-3.45,1.89,-2.34,1
2.10,-3.45,1.89,2.34,-1.23,3.45,1.34,-2.10,2.34,-1.89,0
4.56,1.23,-2.10,3.45,-1.34,2.10,1.89,-3.45,2.10,-1.23,1
-2.10,1.34,3.45,-1.89,2.10,-2.34,1.23,3.45,-1.34,2.10,0
1.23,2.10,-1.34,1.89,3.45,-2.10,2.34,-1.23,1.89,-3.45,1
3.45,-1.89,2.10,1.23,-2.34,1.89,3.45,-1.34,2.10,-2.10,0
-1.34,3.45,1.89,2.10,-1.23,2.10,-1.34,3.45,-2.10,1.89,1
2.34,1.89,-3.45,1.34,2.10,1.23,-2.10,2.34,-1.89,3.45,0
